0,HeartMode,0,,,,,,,
0,HeartTeleport,323.5,308.5,,,,,,
0,CombatZoneResize,238,223,409,393,,,,
0.1,SansText,[turn_2 text],,,,,,,
0,GasterBlaster,1,200,0,325,160,90,0.34,0.25
0,GasterBlaster,1,200,840,324,460,-90,0.24,0.25
0,GasterBlaster,1,0,0,174,309,0,0.24,0.25
0,GasterBlaster,1,640,0,474,309,180,0.24,0.25
0.65,BONESTAB,0,35,0,0.25,,,,
0,BONESTAB,1,35,0,0.25,,,,
0,BONESTAB,2,35,0,0.25,,,,
0,BONESTAB,3,35,0,0.25,,,,
0,GasterBlaster,3,0,160,355,160,90,0.15,0.4
0,GasterBlaster,3,600,460,295,460,-90,0.15,0.4
0,GasterBlaster,3,174,0,174,339,0,0.15,0.4
0,GasterBlaster,3,474,600,474,279,180,0.15,0.4
,,,,,,,,,
0.7,getheartpos,aX,aY,,,,,,
0,GasterBlaster,0,200,0,$aX,$aY,90,0.3,0.25
0,GasterBlaster,0,200,840,$aX,$aY,-90,0.3,0.25
0,GasterBlaster,0,0,0,$aX,$aY,0,0.3,0.25
0,GasterBlaster,0,640,0,$aX,$aY,180,0.3,0.25
0.05,getheartpos,aX,aY,,,,,,
0,GasterBlaster,0,200,0,$aX,$aY,90,0.3,0.25
0,GasterBlaster,0,200,840,$aX,$aY,-90,0.3,0.25
0,GasterBlaster,0,0,0,$aX,$aY,0,0.3,0.25
0,GasterBlaster,0,640,0,$aX,$aY,180,0.3,0.25
0.05,getheartpos,aX,aY,,,,,,
0,GasterBlaster,0,200,0,$aX,$aY,90,0.3,0.25
0,GasterBlaster,0,200,840,$aX,$aY,-90,0.3,0.25
0,GasterBlaster,0,0,0,$aX,$aY,0,0.3,0.25
0,GasterBlaster,0,640,0,$aX,$aY,180,0.3,0.25
0.05,getheartpos,aX,aY,,,,,,
0,GasterBlaster,0,200,0,$aX,$aY,90,0.3,0.25
0,GasterBlaster,0,200,840,$aX,$aY,-90,0.3,0.25
0,GasterBlaster,0,0,0,$aX,$aY,0,0.3,0.25
0,GasterBlaster,0,640,0,$aX,$aY,180,0.3,0.25
0.05,getheartpos,aX,aY,,,,,,
0,GasterBlaster,0,200,0,$aX,$aY,90,0.3,0.25
0,GasterBlaster,0,200,840,$aX,$aY,-90,0.3,0.25
0,GasterBlaster,0,0,0,$aX,$aY,0,0.3,0.25
0,GasterBlaster,0,640,0,$aX,$aY,180,0.3,0.25
0.05,getheartpos,aX,aY,,,,,,
0,GasterBlaster,0,200,0,$aX,$aY,90,0.3,0.25
0,GasterBlaster,0,200,840,$aX,$aY,-90,0.3,0.25
0,GasterBlaster,0,0,0,$aX,$aY,0,0.3,0.25
0,GasterBlaster,0,640,0,$aX,$aY,180,0.3,0.25
,,,,,,,,,
,,,,,,,,,
0,SET,gt,0,,,,,,
0,SET,gin,1,,,,,,
0,MUL,Ang,$gt,-13.5,,,,,
0,COS,X,$Ang,,,,,,
0,SIN,Y,$Ang,,,,,,
0,MUL,EndX,$X,150,,,,,
0,MUL,EndY,$Y,150,,,,,
0,MUL,X,$EndX,3,,,,,
0,MUL,Y,$EndY,3,,,,,
0,ADD,X,$X,320,,,,,
0,ADD,Y,$Y,306,,,,,
0,ADD,EndX,$EndX,320,,,,,
0,ADD,EndY,$EndY,306,,,,,
0,ADD,Ang,$Ang,180,,,,,
0,GasterBlaster,0,$X,$Y,$EndX,$EndY,$Ang,0.5,0
0,boneV,700,223,200,2,400,2,,
0,ADD,gt,$gt,$gin,,,,,
0,JMPNL,69,$gin,1.7,,,,,
0,ADD,gin,$gin,0,,,,,
0.05,JMPL,52,$gt,94,,,,,
1.2,sansslam,1,,,,,,,
0,SANSBODY,HANDDOWN,,,,,,,
0,CombatZoneResize,238,260,409,393,,,,
,,,,,,,,,
0.3,ROTATEBONE,238,160,90,0,500,50,d,
0,ROTATEBONE,409,160,90,0,500,130,d,
0.05,ROTATEBONE,238,160,90,0,500,50,d,
0,ROTATEBONE,409,160,90,0,500,130,d,
0.05,ROTATEBONE,238,160,90,0,500,50,d,
0,ROTATEBONE,409,160,90,0,500,130,d,
0.05,ROTATEBONE,238,160,90,0,500,50,d,
0,ROTATEBONE,409,160,90,0,500,130,d,
0.05,ROTATEBONE,238,160,90,0,500,50,d,
0,ROTATEBONE,409,160,90,0,500,130,d,
0.4,bonev,238,340,90,0,500,,,
0,bonev,409,340,90,2,500,,,
0.04,bonev,238,335,90,0,500,,,
0,bonev,409,335,90,2,500,,,
0.04,bonev,238,330,90,0,500,,,
0,bonev,409,330,90,2,500,,,
0.04,bonev,238,320,90,0,500,,,
0,bonev,409,320,90,2,500,,,
,,,,,,,,,
0.04,bonevrepeat,238,340,80,0,1000,140,15,
0,bonevrepeat,409,340,80,2,1000,140,15,
,,,,,,,,,
,,,,,,,,,
0.3,sansslam,3,,,,,,,
0,SANSBODY,handup,,,,,,,
0.2,bonestab,3,50,0.25,0.2,,,,
,,,,,,,,,
0.1,SANSBODY,DEFAULT,,,,,,,
0.15,heartmode,0,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0.25,ENDATTACK,,,,,,,,
