0,CombatZoneResize,249,239,399,379,,,,
0,HeartTeleport,323.5,308.5,,,,,,
0.1,SansText,[turn_8 text],,,,,,,
0,heartmode,1,,,,,,,
0.5,GasterBlaster,1,325.5,-57.5,325.5,142.5,90,0.6,0.35
0,GasterBlaster,1,375.5,-57.5,375.5,142.5,90,0.6,0.35
0,GasterBlaster,1,-41.5,366.5,158.5,366.5,0,0.6,0.35
1.2,BoneV,394.5,242.5,90,2,200,0,,
0,BoneV,243.5,304.5,70,0,200,0,,
0,BoneV,394.5,0,900,2,200,2,,
0,BoneV,243.5,0,900,0,200,2,,
0,BONESTAB,1,50,0,0.15,,,,
0.5,GasterBlaster,1,325.5,-57.5,325.5,142.5,90,0.6,0.35
,GasterBlaster,1,275.5,-57.5,275.5,142.5,90,0.6,0.35
,GasterBlaster,1,688.5,366.5,488.5,366.5,180,0.6,0.35
1.2,BoneV,243.5,242.5,90,0,200,0,,
0,BoneV,394.5,304.5,70,2,200,0,,
0,BoneV,243.5,0,900,0,200,2,,
0,BoneV,394.5,0,900,2,200,2,,
0,BONESTAB,1,50,0,0.15,,,,
0.5,GasterBlaster,1,325.5,-57.5,325.5,142.5,90,0.6,0.35
0,GasterBlaster,1,375.5,-57.5,375.5,142.5,90,0.6,0.35
0,GasterBlaster,1,-41.5,366.5,158.5,366.5,0,0.6,0.35
1.2,BoneV,394.5,242.5,90,2,200,0,,
0,BoneV,243.5,304.5,70,0,200,0,,
0,BoneV,394.5,0,900,2,200,2,,
0,BoneV,243.5,0,900,0,200,2,,
0,BONESTAB,1,50,0,0.15,,,,
0.5,GasterBlaster,1,325.5,-57.5,325.5,142.5,90,0.6,0.35
,GasterBlaster,1,275.5,-57.5,275.5,142.5,90,0.6,0.35
,GasterBlaster,1,688.5,366.5,488.5,366.5,180,0.6,0.35
1.2,BoneV,243.5,242.5,90,0,200,0,,
0,BoneV,394.5,304.5,70,2,200,0,,
0,BoneV,243.5,0,900,0,200,2,,
0,BoneV,394.5,0,900,2,200,2,,
0,BONESTAB,1,50,0,0.15,,,,
0.5,GasterBlaster,1,325.5,-57.5,325.5,142.5,90,0.6,0.35
0,GasterBlaster,1,375.5,-57.5,375.5,142.5,90,0.6,0.35
0,GasterBlaster,1,-41.5,366.5,158.5,366.5,0,0.6,0.35
1.2,BoneV,394.5,242.5,90,2,200,0,,
0,BoneV,243.5,304.5,70,0,200,0,,
0,BoneV,394.5,0,900,2,200,2,,
0,BoneV,243.5,0,900,0,200,2,,
0,BONESTAB,1,50,0,0.15,,,,
0.5,GasterBlaster,1,325.5,-57.5,325.5,142.5,90,0.6,0.35
,GasterBlaster,1,275.5,-57.5,275.5,142.5,90,0.6,0.35
,GasterBlaster,1,688.5,366.5,488.5,366.5,180,0.6,0.35
1.2,BoneV,243.5,242.5,90,0,200,0,,
0,BoneV,394.5,304.5,70,2,200,0,,
0,BoneV,243.5,0,900,0,200,2,,
0,BoneV,394.5,0,900,2,200,2,,
0,BONESTAB,1,50,0,0.15,,,,
0.5,GasterBlaster,1,325.5,-57.5,325.5,142.5,90,0.6,0.35
0,GasterBlaster,1,375.5,-57.5,375.5,142.5,90,0.6,0.35
0,GasterBlaster,1,-41.5,366.5,158.5,366.5,0,0.6,0.35
1.2,BoneV,394.5,242.5,90,2,200,0,,
0,BoneV,243.5,304.5,70,0,200,0,,
0,BoneV,394.5,0,900,2,200,2,,
0,BoneV,243.5,0,900,0,200,2,,
0,BONESTAB,1,50,0,0.15,,,,
0.5,GasterBlaster,1,325.5,-57.5,325.5,142.5,90,0.6,0.35
,GasterBlaster,1,275.5,-57.5,275.5,142.5,90,0.6,0.35
,GasterBlaster,1,688.5,366.5,488.5,366.5,180,0.6,0.35
1.2,BoneV,243.5,242.5,90,0,200,0,,
0,BoneV,394.5,304.5,70,2,200,0,,
0,BoneV,243.5,0,900,0,200,2,,
0,BoneV,394.5,0,900,2,200,2,,
0,BONESTAB,1,50,0,0.15,,,,
0.5,ENDATTACK,,,,,,,,
